GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final,com.se310.store.servlet,BaseServlet.ErrorResponse,12,0,0,0,5,0,1,0,1,0
final,com.se310.store.servlet,BaseServlet,103,0,12,0,28,0,12,0,6,0
final,com.se310.store.servlet,SwaggerServlet,1023,0,92,0,289,0,57,0,11,0
final,com.se310.store.service,AuthenticationService,244,0,48,0,61,0,34,0,10,0
final,com.se310.store.service,StoreService,1180,0,136,0,285,0,104,0,36,0
final,com.se310.store.model,Device,54,0,0,0,19,0,10,0,10,0
final,com.se310.store.model,Temperature,33,0,0,0,6,0,1,0,1,0
final,com.se310.store.model,Appliance,17,0,0,0,6,0,3,0,3,0
final,com.se310.store.model,Basket,355,0,26,0,81,0,29,0,16,0
final,com.se310.store.model,InventoryType,15,0,0,0,3,0,1,0,1,0
final,com.se310.store.model,SensorType,15,0,0,0,3,0,1,0,1,0
final,com.se310.store.model,User,88,0,6,0,30,0,17,0,14,0
final,com.se310.store.model,ShelfLevel,21,0,0,0,4,0,1,0,1,0
final,com.se310.store.model,StoreException,23,0,0,0,10,0,5,0,5,0
final,com.se310.store.model,CustomerType,15,0,0,0,3,0,1,0,1,0
final,com.se310.store.model,StoreLocation,29,0,0,0,11,0,6,0,6,0
final,com.se310.store.model,CommandProcessor,818,0,60,0,108,0,33,0,3,0
final,com.se310.store.model,Shelf,120,0,6,0,32,0,17,0,14,0
final,com.se310.store.model,InventoryLocation,21,0,0,0,8,0,4,0,4,0
final,com.se310.store.model,AisleLocation,15,0,0,0,3,0,1,0,1,0
final,com.se310.store.model,CustomerAgeGroup,15,0,0,0,3,0,1,0,1,0
final,com.se310.store.model,Product,90,0,0,0,31,0,16,0,16,0
final,com.se310.store.model,Aisle,119,0,4,0,32,0,16,0,14,0
final,com.se310.store.model,UserRole,21,0,0,0,4,0,1,0,1,0
final,com.se310.store.model,CommandException,30,0,0,0,13,0,7,0,7,0
final,com.se310.store.model,ApplianceType,21,0,0,0,4,0,1,0,1,0
final,com.se310.store.model,Inventory,101,0,4,0,31,0,17,0,15,0
final,com.se310.store.model,Customer,118,0,0,0,39,0,22,0,22,0
final,com.se310.store.model,Sensor,12,0,0,0,4,0,2,0,2,0
final,com.se310.store.model,Store,198,0,14,0,44,0,23,0,16,0
final,com.se310.store,SmartStoreApplication,475,0,8,0,137,0,13,0,9,0
final,com.se310.store.repository,UserRepository,64,0,16,0,18,0,15,0,7,0
final,com.se310.store.repository,StoreRepository,66,0,16,0,19,0,15,0,7,0
final,com.se310.store.data,DataManager,1633,0,104,0,304,0,115,0,63,0
final,com.se310.store.security,AuthenticationFilter,69,0,4,0,23,0,7,0,5,0
final,com.se310.store.security,PasswordEncryption,123,0,6,0,35,0,9,0,6,0
final,com.se310.store.security,AuthorizationFilter,51,0,4,0,19,0,6,0,4,0
final,com.se310.store.dto,StoreMapper,57,0,10,0,23,0,10,0,5,0
final,com.se310.store.dto,UserMapper,110,0,28,0,34,0,19,0,5,0
final,com.se310.store.dto,UserMapper.UserDTO,39,0,0,0,17,0,9,0,9,0
final,com.se310.store.dto,JsonHelper,62,0,0,0,17,0,9,0,9,0
final,com.se310.store.dto,StoreMapper.StoreDTO,39,0,0,0,17,0,9,0,9,0
final,com.se310.store.cli,StoreManagementCLIClient,1196,0,68,0,365,0,57,0,14,0
final,com.se310.store.config,SampleDataLoader,1311,0,0,0,231,0,17,0,17,0
final,com.se310.store.config,ConfigLoader,129,0,2,0,36,0,21,0,20,0
final,com.se310.store.controller,StoreController,239,0,32,0,68,0,21,0,5,0
final,com.se310.store.controller,UserController,237,0,32,0,73,0,21,0,5,0
